NAME	DESCRIPTION	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_experimental	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_control
CPNE4	na	0.02	0.1
TEX11	na	0.01	0.05
FIGN	na	0.01	0.05
MFI2	na	0.01	0.05
F630042J09RIK	na	0.01	0.05
LGR6	na	0.11	0.55
POU3F1	na	0.02	0.1
MYH13	na	0.01	0.05
EXTL1	na	0.37	1.85
APC2	na	0.01	0.05
FOXI1	na	0.04	0.2
LRRIQ3	na	0.08	0.4
TPO	na	0.01	0.05
ANKS4B	na	0.06	0.3
PADI1	na	0.06	0.3
ADCY2	na	0.03	0.15
RUFY4	na	0.1	0.5
RSLCAN18	na	0.1	0.5
GM15326	na	0.14	0.7
SYCE1	na	0.07	0.35
GM1965	na	0.1	0.5
PLA2G2F	na	0.05	0.25
CSPG5	na	0.05	0.25
TSPYL5	na	0.07	0.35
NUP62CL	na	0.06	0.3
SLC37A2	na	2.15	10.7
NR4A3	na	0.95	4.72
GM7367	na	0.3	1.49
CTDSPL	na	0.77	3.82
ANK3	na	0.51	2.53
TRPS1	na	0.49	2.43
SPNS3	na	0.48	2.38
MIA	na	0.23	1.14
ACADM	na	15.16	74.96
CCNE1	na	2.9	14.31
RNF144A	na	1.48	7.3
B3GNT2	na	9.58	47.24
IL12RB2	na	1.22	6.0
CD70	na	0.12	0.59
PTPRCAP	na	93.4	459.08
DGKE	na	4.98	24.44
FAM101A	na	0.1	0.49
COLGALT2	na	0.09	0.44
SLC25A43	na	0.08	0.39
1110034G24RIK	na	1.64	7.99
REEP1	na	0.31	1.51
I730030J21RIK	na	1.28	6.23
2810047C21RIK1	na	0.29	1.41
FXYD1	na	7.52	36.49
TBXA2R	na	5.78	28.04
FAM110B	na	0.53	2.57
ISG15	na	6.68	32.38
ACAD11	na	2.3	11.1
A830010M20RIK	na	1.3	6.27
GUCA2B	na	0.28	1.35
CMBL	na	1.11	5.35
5031414D18RIK	na	0.33	1.59
UPB1	na	0.11	0.53
LYPD2	na	0.27	1.3
GBP8	na	10.78	51.89
ISPD	na	0.16	0.77
CALCRL	na	2.3	11.06
S100A13	na	13.3	63.93
9630028I04RIK	na	0.05	0.24
PYDC3	na	2.24	10.75
ZC3H12D	na	0.49	2.35
CALML3	na	0.41	1.96
3110009E18RIK	na	2.36	11.28
TMEM266	na	0.09	0.43
HIC1	na	0.62	2.96
GBP10	na	0.31	1.48
CLEC9A	na	0.65	3.09
PLA2G2E	na	0.08	0.38
ROBO2	na	0.04	0.19
CCL28	na	0.04	0.19
FRMPD1	na	0.08	0.38
WDR93	na	0.08	0.38
MPP2	na	0.2	0.95
IFI44	na	1.16	5.5
CYP2R1	na	0.23	1.09
AMY1	na	1.37	6.49
RHOF	na	2.5	11.84
CFAP74	na	3.3	15.57
HCAR2	na	0.31	1.46
GM4013	na	0.85	3.99
FABP4	na	189.67	890.03
GAMT	na	0.51	2.39
S100A9	na	3.14	14.71
SLC6A20A	na	0.19	0.89
MEOX2	na	0.49	2.29
VAMP5	na	1.28	5.98
A730017C20RIK	na	0.88	4.11
KLHL38	na	0.03	0.14
STK32B	na	0.03	0.14
CYP11A1	na	0.18	0.84
SERPINA12	na	0.03	0.14
6530402F18RIK	na	0.18	0.84
GM38407	na	0.09	0.42
SLC13A2	na	0.03	0.14
VSX2	na	0.03	0.14
PPA1	na	10.8	50.38
DUSP28	na	4.42	20.61
SRXN1	na	2.74	12.76
NFKBIA	na	17.64	82.01
PALM3	na	0.17	0.79
OIT1	na	0.31	1.44
DPYD	na	0.45	2.09
OAS1A	na	1.93	8.96
FAM195A	na	3.34	15.48
BEX6	na	0.3	1.39
CARD11	na	3.87	17.91
WNT10A	na	0.16	0.74
CUTAL	na	0.08	0.37
MIEN1	na	21.44	99.14
GM1673	na	1.67	7.72
OLFML1	na	1.43	6.61
RHBDL2	na	0.37	1.71
TUFT1	na	0.78	3.6
NPHP4	na	0.13	0.6
HOXAAS2	na	0.18	0.83
WFDC1	na	0.25	1.15
GM9994	na	0.15	0.69
FGGY	na	0.49	2.25
CCDC190	na	0.22	1.01
MKLN1OS	na	0.17	0.78
CRAT	na	3.86	17.71
TCEA3	na	0.63	2.89
H2-T23	na	27.96	128.16
ZFYVE28	na	2.22	10.17
SIGLECG	na	0.31	1.42
RBPMS2	na	0.88	4.03
HSPB11	na	12.98	59.19
AMACR	na	0.68	3.1
GM15408	na	0.54	2.46
MPZ	na	0.2	0.91
SLAMF7	na	1.22	5.55
TCAF2	na	1.22	5.55
NAPRT	na	0.42	1.91
PSD4	na	7.68	34.92
MTFP1	na	0.7	3.18
CCK	na	0.24	1.09
GEM	na	0.76	3.45
ADGRA3	na	0.58	2.63
PILRB1	na	0.79	3.58
PAQR8	na	0.34	1.54
SH3YL1	na	0.51	2.31
PRKAA2	na	0.27	1.22
PSD3	na	0.37	1.67
RAP2B	na	2.74	12.36
CDK20	na	4.17	18.79
CKB	na	3.45	15.53
ANO4	na	0.02	0.09
FOXS1	na	0.32	1.44
FAT3	na	0.02	0.09
F2RL2	na	0.16	0.72
VWA5B1	na	0.02	0.09
SLC5A5	na	0.04	0.18
LRRC2	na	0.02	0.09
HRH1	na	0.04	0.18
PTPRT	na	0.02	0.09
TBX1	na	0.04	0.18
EPB42	na	0.02	0.09
CDPF1	na	4.74	21.28
RRM2	na	25.8	115.6
CDON	na	0.87	3.89
CD244	na	0.17	0.76
SPOCK3	na	0.17	0.76
PLAC9B	na	3.72	16.62
DHRS3	na	16.64	74.32
CYP2F2	na	0.78	3.48
A830082K12RIK	na	0.11	0.49
ZBTB32	na	0.11	0.49
FASN	na	33.7	150.11
HRH2	na	0.31	1.38
SH2D4B	na	1.34	5.96
PLS1	na	0.56	2.49
HOXA5	na	0.39	1.73
ARHGAP24	na	0.85	3.77
CAPN1	na	11.14	49.39
PYDC4	na	1.28	5.67
CACNA1B	na	0.07	0.31
LHFPL1	na	0.12	0.53
MCEMP1	na	0.72	3.18
KLF15	na	1.47	6.49
GPR171	na	2.99	13.2
MYL7	na	0.17	0.75
MRGPRF	na	0.22	0.97
ARHGAP27OS3	na	0.93	4.1
SPATA6	na	8.47	37.28
CSTAD	na	0.2	0.88
ATP6V0E2	na	0.4	1.76
KRT83	na	0.05	0.22
KIRREL3	na	0.1	0.44
GPR33	na	0.05	0.22
ART4	na	4.37	19.18
HOXA4	na	0.44	1.93
COL6A6	na	0.13	0.57
POP5	na	7.58	33.2
ZFP493	na	0.29	1.27
FBXO9	na	5.61	24.53
STXBP6	na	0.46	2.01
ECHDC1	na	3.54	15.46
ZFP583	na	0.36	1.57
IRF8	na	7.93	34.57
GM19897	na	0.7	3.05
GPT2	na	1.57	6.84
RBM20	na	0.45	1.96
SLC25A42	na	2.33	10.14
UQCC2	na	25.1	109.03
FBXW10	na	0.35	1.52
DECR1	na	5.2	22.56
GSTZ1	na	8.56	37.12
KCNA1	na	0.03	0.13
CPS1	na	0.03	0.13
6430573F11RIK	na	0.09	0.39
GNAZ	na	0.03	0.13
BRINP2	na	0.03	0.13
ZFP558	na	0.21	0.91
BTLA	na	1.61	6.96
CKMT1	na	0.72	3.11
ARHGAP8	na	1.66	7.17
KCNJ10	na	0.66	2.85
CAR11	na	0.16	0.69
B430212C06RIK	na	0.16	0.69
ATG4C	na	0.55	2.37
TOP1MT	na	0.86	3.7
CEND1	na	0.1	0.43
PHOSPHO1	na	0.81	3.48
VMO1	na	0.35	1.5
GGT5	na	0.49	2.1
EVPL	na	0.39	1.67
CPEB1	na	0.79	3.38
GSTT1	na	1.59	6.8
EPB41L4A	na	0.29	1.24
SP100	na	26.6	113.68
OCEL1	na	1.8	7.69
C030013G03RIK	na	0.41	1.75
CCDC109B	na	2.48	10.57
MMP28	na	0.5	2.13
NXPE3	na	0.85	3.62
RGS18	na	0.47	2.0
SHOX2	na	0.04	0.17
NKX3-1	na	0.04	0.17
DMRTA1	na	0.12	0.51
4632428C04RIK	na	0.04	0.17
A730020E08RIK	na	0.08	0.34
TRIM31	na	0.04	0.17
CXCR3	na	0.78	3.31
ZFP459	na	0.25	1.06
DERL3	na	0.34	1.44
PXYLP1	na	0.6	2.54
DEPTOR	na	1.18	4.99
SLC5A9	na	0.7	2.96
MTHFD2	na	3.32	14.03
EAR1	na	0.18	0.76
9930012K11RIK	na	1.18	4.98
ACKR4	na	3.14	13.25
FAM102A	na	3.52	14.85
ST3GAL2	na	1.29	5.44
SAMSN1	na	4.31	18.16
ZFP931	na	1.36	5.72
GM38426	na	0.5	2.1
ZMYND10	na	0.05	0.21
MMAA	na	0.73	3.06
EPB41L4B	na	1.66	6.95
TRP53I13	na	2.9	12.14
ZFP467	na	1.72	7.2
ERV3	na	0.11	0.46
PCDHGB5	na	0.11	0.46
HDAC5	na	2.46	10.27
S100A16	na	8.39	35.01
ANKRD35	na	0.29	1.21
HOXA2	na	0.47	1.96
MYLK3	na	0.06	0.25
SH2B2	na	1.3	5.41
STARD10	na	4.08	16.95
SERPINA3J	na	0.13	0.54
ABHD14A	na	1.48	6.14
SLC25A45	na	2.83	11.74
SLC44A3	na	0.27	1.12
BCL2L1	na	23.38	96.88
IFI27L2B	na	0.21	0.87
1810011H11RIK	na	0.28	1.16
IL1RL1	na	0.07	0.29
PTPRQ	na	0.07	0.29
HSPB8	na	5.13	21.22
CLK3	na	30.6	126.48
UROS	na	1.97	8.14
SST	na	0.23	0.95
SH3D19	na	0.95	3.92
ZFP879	na	0.08	0.33
CSPRS	na	0.4	1.65
HCN2	na	0.08	0.33
VMN2R84	na	0.25	1.03
MAB21L2	na	0.09	0.37
1700025G04RIK	na	1.18	4.85
COBLL1	na	0.93	3.82
WNT4	na	2.11	8.66
SAG	na	0.29	1.19
PSTPIP2	na	1.37	5.62
BTC	na	0.1	0.41
KCNIP2	na	0.11	0.45
HAL	na	0.24	0.98
APOL7B	na	0.48	1.96
STAT4	na	3.4	13.88
THRB	na	0.26	1.06
D10JHU81E	na	10.47	42.63
LY6G	na	0.14	0.57
OLFR99	na	0.14	0.57
PPARG	na	3.07	12.49
LMO4	na	11.42	46.46
TDH	na	0.15	0.61
RESP18	na	0.76	3.09
SLC46A1	na	0.64	2.6
H2-DMA	na	11.91	48.36
ADGRG5	na	0.37	1.5
ALDH6A1	na	5.1	20.67
ANG4	na	0.19	0.77
5430402O13RIK	na	0.21	0.85
ARHGAP44	na	0.45	1.82
KRT222	na	0.23	0.93
DOK2	na	12.26	49.55
MTHFS	na	2.9	11.71
SKINT4	na	0.27	1.09
IL7	na	2.77	11.18
QPCT	na	0.59	2.38
EGR1	na	9.68	39.03
AI464131	na	0.33	1.33
IGDCC4	na	0.36	1.45
AB124611	na	6.02	24.19
PCGF5	na	3.61	14.48
IL18R1	na	0.96	3.85
CST7	na	1.93	7.73
AGT	na	0.41	1.64
LRRTM3	na	0.01	0.04
THSD7B	na	0.01	0.04
DNAH7A	na	0.01	0.04
CNGA2	na	0.07	0.28
SLC9B2	na	0.04	0.16
GABRA4	na	0.01	0.04
DLX6OS1	na	0.01	0.04
SOX5	na	0.08	0.32
9330182L06RIK	na	0.03	0.12
SAYSD1	na	1.2	4.8
4921507P07RIK	na	0.1	0.4
NXF2	na	0.08	0.32
SCN9A	na	0.01	0.04
KCNV1	na	0.01	0.04
ZFP536	na	0.01	0.04
KCNT2	na	0.04	0.16
TMPRSS15	na	0.01	0.04
CSF2	na	0.27	1.08
MGAT4C	na	0.01	0.04
D630003M21RIK	na	0.06	0.24
EPX	na	0.04	0.16
CRISPLD1	na	0.02	0.08
ATP4A	na	0.04	0.16
SLC6A18	na	0.01	0.04
FCGBP	na	4.97	19.86
PHYH	na	10.91	43.57
MCCC2	na	2.46	9.81
TBC1D10C	na	21.81	86.94
RABGAP1L	na	6.31	25.13
OSBPL1A	na	1.68	6.69
RFTN1	na	5.02	19.97
ZFP229	na	0.41	1.63
ADA	na	12.16	48.27
SPICE1	na	0.9	3.57
RMDN1	na	2.22	8.8
GM14288	na	1.07	4.24
ADRB2	na	0.58	2.29
CCDC3	na	0.58	2.29
LDHD	na	1.11	4.38
XKRX	na	2.3	9.07
GZMK	na	0.17	0.67
PLEK2	na	0.51	2.01
TCF7	na	324.83	1277.82
COA3	na	16.82	66.16
RSL1	na	1.5	5.9
LPAR1	na	1.05	4.13
NGFR	na	0.29	1.14
CYP2G1	na	0.14	0.55
KYAT3	na	1.1	4.32
HTRA3	na	2.04	8.01
NRG4	na	1.35	5.3
BAIAP2L1	na	0.4	1.57
PPM1L	na	0.53	2.08
DYNC2LI1	na	1.15	4.51
SLFN2	na	23.39	91.72
PPP1R1B	na	0.38	1.49
ABHD3	na	0.25	0.98
MCTP1	na	0.47	1.84
FLT3L	na	4.69	18.34
TLCD2	na	1.11	4.34
CPED1	na	0.5	1.95
LPAR6	na	10.16	39.61
SNX15	na	3.44	13.39
PDE1A	na	0.35	1.36
CD40	na	1.73	6.72
NIM1K	na	2.33	9.05
TMTC4	na	0.69	2.68
AMZ1	na	0.6	2.33
LMBR1	na	0.5	1.94
XRCC4	na	3.89	15.09
CCDC33	na	0.08	0.31
TIMD2	na	0.08	0.31
SYBU	na	0.08	0.31
CD2	na	53.89	208.8
MATN2	na	0.71	2.75
PCCA	na	3.33	12.88
UTF1	na	0.59	2.28
CCDC141	na	0.22	0.85
GPT	na	1.3	5.02
BARX1	na	0.07	0.27
SEC1	na	0.07	0.27
MOCOS	na	0.91	3.51
ALOX5	na	0.34	1.31
PPP3CC	na	2.08	8.01
IDH2	na	19.65	75.66
B4GALNT1	na	21.99	84.65
IDI2	na	0.13	0.5
BTG2	na	31.54	121.25
KLRB1F	na	0.19	0.73
ANGPTL6	na	0.42	1.61
TRP53TG5	na	0.12	0.46
ADRB1	na	0.18	0.69
COCH	na	0.18	0.69
HNF4G	na	0.06	0.23
IL16	na	19.92	76.35
IL4RA	na	9.08	34.79
SEMA5A	na	0.17	0.65
ARHGAP25	na	5.79	22.12
DNASE1L3	na	2.56	9.78
CMAH	na	5.02	19.17
B3GALT4	na	1.65	6.3
GM4814	na	0.11	0.42
CCL11	na	9.39	35.82
SYNJ2	na	1.24	4.73
MEP1A	na	0.16	0.61
RNF43	na	0.64	2.44
AGPAT9	na	0.57	2.17
PIR	na	0.46	1.75
KRT8	na	38.62	146.84
CASR	na	0.1	0.38
XKR9	na	0.05	0.19
SAMD3	na	0.1	0.38
A330076C08RIK	na	0.1	0.38
ACE2	na	0.05	0.19
CYP3A13	na	0.05	0.19
SLC22A18	na	0.34	1.29
SPR	na	4.56	17.29
RAP1GDS1	na	7.35	27.75
RAB30	na	0.57	2.15
LST1	na	4.33	16.33
PITHD1	na	21.67	81.58
CDKL2	na	0.38	1.43
CAMK2A	na	2.75	10.34
SIX2	na	1.53	5.75
SPA17	na	0.74	2.78
GZMB	na	0.78	2.93
RAB3IP	na	2.72	10.21
GM19434	na	0.04	0.15
MC2R	na	0.12	0.45
ESR1	na	0.28	1.05
SULT4A1	na	0.04	0.15
KRT84	na	0.04	0.15
MGST3	na	7.15	26.77
CUEDC1	na	1.48	5.54
CAV1	na	10.17	38.02
SLPI	na	1.37	5.12
FAT2	na	0.19	0.71
MACROD1	na	3.79	14.14
HOXB2	na	0.26	0.97
PRR33	na	0.99	3.69
SULT1C2	na	0.11	0.41
COA4	na	3.22	12.0
HAMP	na	1.13	4.21
DMPK	na	2.3	8.56
MAP10	na	0.25	0.93
GORASP1	na	0.78	2.9
TNIK	na	1.82	6.76
GPR88	na	0.07	0.26
BC051628	na	0.07	0.26
CDKN2D	na	19.7	73.17
STAU2	na	1.01	3.75
CSGALNACT1	na	0.59	2.19
EDF1	na	56.4	209.29
IRF4	na	0.89	3.3
GAL3ST3	na	0.17	0.63
GM10548	na	0.37	1.37
PLEKHG6	na	0.43	1.59
TMEM143	na	2.71	10.02
GALNT2	na	10.82	39.93
RGS14	na	9.34	34.41
H2-Q9	na	3.07	11.29
PISD-PS3	na	11.61	42.67
ARHGDIB	na	261.55	961.09
FAM105A	na	6.59	24.21
TNFAIP8	na	12.25	44.99
MCCC1OS	na	0.09	0.33
HOMER2	na	0.03	0.11
DPP10	na	0.12	0.44
SCG5	na	0.42	1.54
TTLL10	na	0.06	0.22
S1PR5	na	0.06	0.22
METTL21E	na	0.03	0.11
CDH2	na	0.39	1.43
TMSB4X	na	734.27	2685.34
GM8369	na	0.35	1.28
NSMCE1	na	19.65	71.82
RPS6KA1	na	6.94	25.35
FGF21	na	0.63	2.3
XLR	na	1.63	5.95
0610038B21RIK	na	0.2	0.73
PTGS2	na	0.4	1.46
TRIQK	na	0.54	1.97
CALML4	na	0.51	1.86
JOSD2	na	3.46	12.61
IQCD	na	0.59	2.15
NAV2	na	3.0	10.92
ARL4D	na	0.83	3.02
C1QTNF9	na	0.91	3.31
C7	na	0.52	1.89
GSTA2	na	0.49	1.78
NDUFB2	na	22.75	82.62
MUS81	na	4.88	17.7
1110001J03RIK	na	11.66	42.29
MUSK	na	0.08	0.29
CCDC91	na	3.08	11.16
BOK	na	1.98	7.17
HDHD3	na	0.66	2.39
IL18	na	2.65	9.59
TWF2	na	12.49	45.18
CCL20	na	0.78	2.82
SLA	na	55.03	198.93
FAM167A	na	0.62	2.24
CADM3	na	0.31	1.12
PHF19	na	1.44	5.2
ATP9A	na	1.31	4.73
OASL2	na	6.42	23.16
A430078G23RIK	na	1.09	3.93
CRIP1	na	114.32	411.83
ECH1	na	34.53	124.38
MYOM3	na	0.05	0.18
OPRD1	na	0.1	0.36
GPD2	na	4.88	17.56
FAM69A	na	3.18	11.44
RNU3B2	na	4.34	15.61
RNU3B1	na	4.34	15.61
RNU3B3	na	4.34	15.61
2810002D19RIK	na	2.57	9.24
NME3	na	4.86	17.47
BIN2	na	19.14	68.8
ST6GALNAC3	na	0.22	0.79
FAM163B	na	0.61	2.19
OLFM4	na	0.39	1.4
KCNK4	na	0.17	0.61
INSM1	na	0.48	1.72
SDPR	na	3.18	11.39
SYTL2	na	0.93	3.33
KCNA2	na	0.75	2.68
B3GNT8	na	1.38	4.93
ACYP2	na	1.96	7.0
LRCH2	na	0.14	0.5
ZFHX4	na	0.07	0.25
CRTAC1	na	0.07	0.25
CLRN3	na	0.07	0.25
SERPINB6C	na	0.28	1.0
GATSL3	na	2.3	8.21
KIT	na	0.72	2.57
CAMK1D	na	4.13	14.72
ABCB4	na	0.34	1.21
HAGH	na	8.92	31.73
CCDC68	na	0.83	2.94
ACACA	na	10.53	37.24
KANSL1L	na	4.66	16.48
S100G	na	0.58	2.05
OAF	na	1.07	3.78
TMEFF2	na	0.19	0.67
A530072M11RIK	na	1.05	3.7
VSIR	na	5.68	20.01
SLC18B1	na	0.44	1.55
NFKBID	na	2.45	8.63
MAN1A	na	5.4	19.02
GIMAP6	na	51.84	182.59
NFE2	na	0.46	1.62
SPATS2	na	2.84	10.0
SARDH	na	0.27	0.95
UCKL1	na	2.26	7.95
FGR	na	2.41	8.46
MRPL14	na	18.62	65.31
STKLD1	na	0.12	0.42
WFDC2	na	3.8	13.3
WNT3	na	0.04	0.14
TULP2	na	0.36	1.26
CDHR2	na	0.04	0.14
IL12A	na	0.2	0.7
KCNMB4OS2	na	0.21	0.73
LIMD2	na	55.93	194.28
SPACA9	na	0.15	0.52
FGFRL1	na	1.8	6.24
FAM96B	na	21.8	75.44
EPHX1	na	10.07	34.81
CES2E	na	0.22	0.76
POF1B	na	0.11	0.38
TEKT5	na	0.11	0.38
IFI35	na	8.22	28.38
ALKBH2	na	1.66	5.73
SMIM10L2A	na	0.09	0.31
RASSF10	na	0.09	0.31
ELOVL7	na	0.18	0.62
FUT7	na	0.09	0.31
ASB2	na	1.04	3.58
BBOX1	na	0.16	0.55
DMRTB1	na	0.16	0.55
GM12250	na	1.01	3.47
APOL9B	na	0.99	3.4
PANX1	na	5.61	19.26
TRIM7	na	0.65	2.23
SSPO	na	0.07	0.24
TIMD4	na	1.59	5.45
C030006K11RIK	na	2.79	9.56
DBP	na	4.1	14.04
AP1M2	na	0.95	3.25
LYSMD2	na	1.76	6.02
SNCAIP	na	0.31	1.06
ABHD5	na	2.71	9.26
SH2D4A	na	0.36	1.23
MIF4GD	na	19.79	67.49
MGST1	na	19.74	67.31
CCNO	na	0.27	0.92
MCOLN3	na	1.18	4.02
PIK3CD	na	6.56	22.32
CACHD1	na	0.65	2.21
SYNC	na	0.15	0.51
4932438H23RIK	na	0.05	0.17
DACH1	na	0.1	0.34
NPR1	na	0.76	2.58
4931406C07RIK	na	4.56	15.48
MGAT5B	na	0.18	0.61
ADH1	na	3.56	12.05
ZFP366	na	0.47	1.59
GFRA2	na	0.37	1.25
TACO1	na	2.66	8.98
AWAT2	na	0.16	0.54
EFNA2	na	0.24	0.81
APLP1	na	0.67	2.26
ARPIN	na	1.61	5.43
TMEM151B	na	3.09	10.42
OAS3	na	0.7	2.36
TLCD1	na	1.68	5.66
MTURN	na	1.96	6.6
N4BP3	na	2.16	7.27
HIVEP2	na	3.89	13.09
GM2002	na	0.11	0.37
IL11RA2	na	0.11	0.37
FXYD5	na	63.53	213.46
ARPP21	na	37.82	127.01
KITL	na	1.44	4.83
GAS1	na	3.92	13.14
CHCHD10	na	21.86	73.25
H2-DMB1	na	13.74	46.01
RASGRP3	na	0.87	2.91
FSCN1	na	8.39	28.03
HEMGN	na	1.35	4.51
TALDO1	na	54.3	181.05
KCTD4	na	0.3	1.0
AIFM2	na	3.48	11.6
RPS6KA6	na	0.03	0.1
PAX7	na	0.06	0.2
PCNX2	na	0.03	0.1
GABRQ	na	0.03	0.1
C130074G19RIK	na	2.38	7.93
NDUFAB1	na	26.1	86.87
C1RL	na	0.46	1.53
P2RY13	na	2.29	7.61
TTC38	na	1.89	6.28
SP6	na	0.53	1.76
POU2F3	na	0.25	0.83
H2AFY2	na	0.72	2.39
EFS	na	1.17	3.88
EHHADH	na	3.5	11.6
NAPSA	na	2.51	8.31
ELMO3	na	1.75	5.79
DUSP6	na	3.58	11.84
I830077J02RIK	na	1.44	4.76
MSRA	na	6.52	21.55
FERMT1	na	0.59	1.95
ATRNL1	na	1.43	4.72
RAB34	na	2.3	7.59
ALPK1	na	0.37	1.22
IGTP	na	14.76	48.65
LFNG	na	5.12	16.87
BCKDHB	na	2.79	9.19
WFIKKN2	na	2.56	8.43
RB1	na	9.08	29.85
FLT3	na	1.22	4.01
ST8SIA2	na	0.07	0.23
SLC30A2	na	0.28	0.92
NAV3	na	0.07	0.23
RAB27B	na	0.21	0.69
BAIAP3	na	0.92	3.02
GSTM2	na	6.38	20.94
POLE4	na	11.65	38.22
TSPAN13	na	22.83	74.89
RGS10	na	60.41	198.13
PRODH	na	5.38	17.64
PREP	na	18.51	60.63
SDF2L1	na	5.0	16.37
ELF1	na	29.2	95.56
GABARAPL2	na	21.77	71.18
CSTB	na	126.96	414.8
DCUN1D2	na	3.78	12.33
ITGB2	na	28.54	93.07
NAT2	na	4.91	16.0
ENOX2	na	1.74	5.67
RNPEPL1	na	11.74	38.24
S100A8	na	5.84	19.02
JPH1	na	0.43	1.4
ATG4B	na	5.25	17.09
DYNLL2	na	12.52	40.75
QDPR	na	10.26	33.37
CLMN	na	0.2	0.65
GM94	na	0.4	1.3
GCK	na	0.08	0.26
9330175E14RIK	na	0.96	3.12
NXPE5	na	0.12	0.39
SMARCA2	na	5.83	18.94
MEOX1	na	0.89	2.89
FABP6	na	0.61	1.98
DPPA3	na	0.53	1.72
5730507C01RIK	na	2.19	7.1
LACTB2	na	6.67	21.61
ACAP1	na	19.19	62.15
GABRD	na	0.17	0.55
GALNT9	na	0.17	0.55
CTSL	na	80.19	259.41
A530032D15RIK	na	0.3	0.97
0610010B08RIK	na	0.95	3.07
SYTL4	na	0.13	0.42
GRIFIN	na	0.26	0.84
OTUD1	na	2.18	7.04
RASSF6	na	0.57	1.84
P3H2	na	0.31	1.0
AI413582	na	12.99	41.9
ABCC5	na	7.85	25.32
ABLIM3	na	0.8	2.58
LEFTY2	na	0.09	0.29
FBXL12	na	23.95	77.17
PDK2	na	8.79	28.31
GNG13	na	0.64	2.06
PLEKHF1	na	2.27	7.3
SNX25	na	3.48	11.18
IRGM2	na	4.35	13.97
DLL4	na	0.94	3.01
PMVK	na	6.06	19.4
ECT2L	na	0.05	0.16
ASTN2	na	0.05	0.16
HOXD4	na	0.05	0.16
CYP4F16	na	1.44	4.6
SLC46A3	na	1.71	5.46
YWHAH	na	49.35	157.55
NEK8	na	0.94	3.0
TUBA4A	na	13.28	42.38
MILL2	na	0.21	0.67
AIRE	na	1.44	4.59
RHPN2	na	0.27	0.86
APOC1	na	26.44	84.13
GLDN	na	0.11	0.35
AA543186	na	0.11	0.35
CAP2	na	0.22	0.7
VSTM4	na	0.39	1.24
EYA2	na	6.51	20.68
TPPP3	na	1.89	6.0
TMEM261	na	23.29	73.93
WNT5A	na	0.23	0.73
ATP8A1	na	2.54	8.06
UBE2QL1	na	0.52	1.65
PCOLCE2	na	0.7	2.22
NFKBIE	na	7.21	22.85
KLF2	na	7.17	22.72
IFT80	na	7.47	23.67
RARRES2	na	15.25	48.32
RNF152	na	0.12	0.38
GDNF	na	0.06	0.19
TPGS2	na	3.38	10.7
IL15RA	na	2.51	7.94
DMRTC1A	na	0.37	1.17
A530088E08RIK	na	0.31	0.98
ZMYND15	na	1.8	5.69
CCL17	na	2.61	8.25
NELL2	na	0.32	1.01
STX4A	na	12.11	38.22
IL15	na	1.35	4.26
MED11	na	9.33	29.44
UNC93A	na	0.13	0.41
NDRG2	na	5.72	18.04
VNN1	na	0.13	0.41
GNGT2	na	25.05	78.85
DPT	na	6.84	21.53
FCHSD2	na	3.59	11.3
HK2	na	1.17	3.68
CNTLN	na	0.76	2.39
AICDA	na	0.07	0.22
ZFP985	na	0.07	0.22
MPC1	na	69.99	219.88
FAM107A	na	0.72	2.26
TIMMDC1	na	3.82	11.99
ABAT	na	2.46	7.72
PTPRN	na	0.22	0.69
PLCB4	na	1.33	4.17
SEMA4F	na	0.15	0.47
SNCG	na	4.33	13.54
PHLDA3	na	8.12	25.39
RAD23A	na	11.31	35.36
TAC1	na	0.16	0.5
BOLL	na	0.16	0.5
MPST	na	12.3	38.42
SH3TC2	na	0.33	1.03
SPINK1	na	0.5	1.56
TNFRSF13B	na	10.06	31.38
SYNPO2	na	1.35	4.21
RAPSN	na	0.52	1.62
THAP2	na	2.82	8.78
CYCS	na	22.92	71.32
PRDM16	na	0.36	1.12
GPR63	na	0.09	0.28
TRIM12A	na	13.57	42.21
RCAN1	na	6.19	19.24
DCXR	na	8.57	26.63
TRIM5	na	2.06	6.4
ACADVL	na	19.74	61.25
SPRR2A2	na	3.74	11.6
TNFRSF9	na	2.29	7.1
GM20324	na	3.99	12.37
RAD51C	na	0.82	2.54
CHRNB1	na	0.62	1.92
L3MBTL3	na	2.88	8.91
SYT1	na	0.44	1.36
ASCC3	na	3.2	9.89
SAMHD1	na	6.38	19.71
CDC6	na	2.98	9.19
NXN	na	5.1	15.72
EIF4E3	na	14.33	44.17
EHD2	na	5.46	16.82
S100A4	na	16.52	50.86
2610002M06RIK	na	3.05	9.39
NNT	na	3.45	10.62
YBX3	na	20.6	63.39
PRR16	na	0.13	0.4
DSCAML1	na	0.26	0.8
IRF7	na	12.17	37.41
DMRT2	na	2.9	8.91
LCP2	na	32.52	99.91
CYP27A1	na	1.95	5.99
ZFP874A	na	2.9	8.9
C6	na	0.31	0.95
CDK14	na	0.48	1.47
DNAJB2	na	2.63	8.05
AW112010	na	14.94	45.71
SMIM11	na	21.73	66.47
PMP2	na	0.17	0.52
ACSM3	na	1.03	3.15
CLDN15	na	1.25	3.82
